"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","Epoch..TDB.","e","i..deg.","w..deg.","Node..deg.","q..AU.","Q..AU.","P..yr.","MOID..AU.","A1..AU.d.2.","A2..AU.d.2.","A3..AU.d.2.","DT..d.","ref","Object_name","crush","avg_speed"
"Aachen",1,"Valid","L5",21,"Fell",1880,50.775,6.08333,"(50.775, 6.08333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adhi Kot",379,"Valid","EH4",4239,"Fell",1919,32.1,71.8,"(32.1, 71.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agen",392,"Valid","H5",30000,"Fell",1814,44.21667,0.61667,"(44.21667, 0.61667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguila Blanca",417,"Valid","L",1440,"Fell",1920,-30.86667,-64.55,"(-30.86667, -64.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aioun el Atrouss",423,"Valid","Diogenite-pm",1000,"Fell",1974,16.39806,-9.57028,"(16.39806, -9.57028)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akbarpur",427,"Valid","H4",1800,"Fell",1838,29.71667,77.95,"(29.71667, 77.95)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akwanga",432,"Valid","H",3000,"Fell",1959,8.91667,8.43333,"(8.91667, 8.43333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akyumak",433,"Valid","Iron, IVA",50000,"Fell",1981,39.91667,42.81667,"(39.91667, 42.81667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Al Rais",446,"Valid","CR2-an",160,"Fell",1957,24.41667,39.51667,"(24.41667, 39.51667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Al Zarnkh",447,"Valid","LL5",700,"Fell",2001,13.66033,28.96,"(13.66033, 28.96)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",454,"Valid","L",625,"Fell",1949,2,22.66667,"(2.0, 22.66667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldsworth",461,"Valid","LL5",700,"Fell",1835,51.78333,-1.78333,"(51.78333, -1.78333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alessandria",463,"Valid","H5",908,"Fell",1860,44.88333,8.75,"(44.88333, 8.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfianello",466,"Valid","L6",228000,"Fell",1883,45.26667,10.15,"(45.26667, 10.15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allegan",2276,"Valid","H5",32000,"Fell",1899,42.53333,-85.88333,"(42.53333, -85.88333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allende",2278,"Valid","CV3",2e+06,"Fell",1969,26.96667,-105.31667,"(26.96667, -105.31667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alta'ameem",2284,"Valid","LL5",6000,"Fell",1977,35.27333,44.21556,"(35.27333, 44.21556)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambapur Nagla",2290,"Valid","H5",6400,"Fell",1895,27.66667,78.25,"(27.66667, 78.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andreevka",2296,"Valid","L3",600,"Fell",1969,48.7,37.5,"(48.7, 37.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angra dos Reis (stone)",2302,"Valid","Angrite",1500,"Fell",1869,-22.96667,-44.31667,"(-22.96667, -44.31667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aomori",2313,"Valid","L6",320,"Fell",1984,40.81056,140.78556,"(40.81056, 140.78556)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apt",2320,"Valid","L6",3200,"Fell",1803,43.86667,5.38333,"(43.86667, 5.38333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashdon",2346,"Valid","L6",1300,"Fell",1923,52.05,0.3,"(52.05, 0.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assisi",2353,"Valid","H5",2000,"Fell",1886,43.03333,12.55,"(43.03333, 12.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atarra",4883,"Valid","L4",1280,"Fell",1920,25.25417,80.625,"(25.25417, 80.625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aubres",4893,"Valid","Aubrite",800,"Fell",1836,44.38333,5.16667,"(44.38333, 5.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aumale",4899,"Valid","L6",50000,"Fell",1865,36.16667,3.66667,"(36.16667, 3.66667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avanhandava",4905,"Valid","H4",9330,"Fell",1952,-21.46028,-49.95083,"(-21.46028, -49.95083)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avce",4906,"Valid","Iron, IIAB",1230,"Fell",1908,46,13.5,"(46.0, 13.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aztec",4913,"Valid","L6",2830,"Fell",1938,36.8,-108,"(36.8, -108.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bachmut",4917,"Valid","L6",18000,"Fell",1814,48.6,38,"(48.6, 38.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bald Mountain",4925,"Valid","L4",3700,"Fell",1929,35.96667,-82.48333,"(35.96667, -82.48333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ban Rong Du",4934,"Valid","Iron, ungrouped",16700,"Fell",1993,16.66667,101.18333,"(16.66667, 101.18333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bandong",4935,"Valid","LL6",11500,"Fell",1871,-6.91667,107.6,"(-6.91667, 107.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banswal",4937,"Valid","L5",14,"Fell",1913,30.4,78.2,"(30.4, 78.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banten",4938,"Valid","CM2",629,"Fell",1933,-6.33333,106,"(-6.33333, 106.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbotan",4942,"Valid","H5",6400,"Fell",1790,43.95,-0.05,"(43.95, -0.05)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barcelona (stone)",4944,"Valid","OC",NA,"Fell",1704,41.36667,2.16667,"(41.36667, 2.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barea",4946,"Valid","Mesosiderite-A1",3200,"Fell",1842,42.38333,-2.5,"(42.38333, -2.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnaul",4947,"Valid","H5",23.2,"Fell",1904,52.73333,84.08333,"(52.73333, 84.08333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barntrup",4948,"Valid","LL4",17,"Fell",1886,52,9.1,"(52.0, 9.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baroti",4949,"Valid","L6",4500,"Fell",1910,31.61667,76.8,"(31.61667, 76.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barwell",4954,"Valid","L5",44000,"Fell",1965,52.56528,-1.33972,"(52.56528, -1.33972)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bath",4974,"Valid","H4",21000,"Fell",1892,45.41667,-98.31667,"(45.41667, -98.31667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bath Furnace",4975,"Valid","L6",86000,"Fell",1902,38.25,-83.75,"(38.25, -83.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baxter",4977,"Valid","L6",611,"Fell",1916,36.75,-93.5,"(36.75, -93.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bells",5005,"Valid","C2-ung",375,"Fell",1961,33.6,-96.46667,"(33.6, -96.46667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belville",5009,"Valid","OC",NA,"Fell",1937,-32.33333,-64.86667,"(-32.33333, -64.86667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benoni",5023,"Valid","H6",3880,"Fell",1943,-26.16667,28.41667,"(-26.16667, 28.41667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bensour",5024,"Valid","LL6",45000,"Fell",2002,30,-7,"(30.0, -7.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berduc",48975,"Valid","L6",270,"Fell",2008,-31.91,-58.32833,"(-31.91, -58.32833)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bethlehem",5032,"Valid","H",13.9,"Fell",1859,42.53333,-73.83333,"(42.53333, -73.83333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beyrout",5035,"Valid","LL3.8",1100,"Fell",1921,33.88333,35.5,"(33.88333, 35.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhawad",36591,"Valid","LL6",678,"Fell",2002,26.50833,73.11528,"(26.50833, 73.11528)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bherai",5039,"Valid","L6",100,"Fell",1893,20.83333,71.46667,"(20.83333, 71.46667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhola",5040,"Valid","LL3-6",1047,"Fell",1940,22.68333,90.65,"(22.68333, 90.65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bholghati",5041,"Valid","Howardite",2500,"Fell",1905,22.08333,86.9,"(22.08333, 86.9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bilanga",5045,"Valid","Diogenite",25000,"Fell",1999,12.45,-0.08333,"(12.45, -0.08333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Binningup",5051,"Valid","H5",488.1,"Fell",1984,-33.15639,115.67639,"(-33.15639, 115.67639)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birni N'konni",5056,"Valid","H4",560,"Fell",1923,13.76667,5.3,"(13.76667, 5.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bishopville",5059,"Valid","Aubrite",6000,"Fell",1843,34.16667,-80.28333,"(34.16667, -80.28333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bishunpur",5060,"Valid","LL3.15",1039,"Fell",1895,25.38333,82.6,"(25.38333, 82.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Moshannan Park",5065,"Valid","L5",705,"Fell",1941,40.91667,-78.08333,"(40.91667, -78.08333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackwell",5068,"Valid","L5",2381,"Fell",1906,36.83333,-97.33333,"(36.83333, -97.33333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blansko",5072,"Valid","H6",470,"Fell",1833,49.36667,16.63333,"(49.36667, 16.63333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloomington",5076,"Valid","LL6",67.8,"Fell",1938,40.48,-89.00417,"(40.48, -89.00417)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boguslavka",5098,"Valid","Iron, IIAB",256000,"Fell",1916,44.55,131.63333,"(44.55, 131.63333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bori",5111,"Valid","L6",8600,"Fell",1894,21.95,78.03333,"(21.95, 78.03333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boriskino",5112,"Valid","CM2",1342,"Fell",1930,54.23333,52.48333,"(54.23333, 52.48333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borkut",5113,"Valid","L5",7000,"Fell",1852,48.15,24.28333,"(48.15, 24.28333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borodino",5114,"Valid","H5",500,"Fell",1812,55.46667,35.86667,"(55.46667, 35.86667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boumdeid (2003)",57168,"Valid","L6",190,"Fell",2003,17.71067,-11.3715,"(17.71067, -11.3715)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boumdeid (2011)",57167,"Valid","L6",3599,"Fell",2011,17.17493,-11.34133,"(17.17493, -11.34133)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braunau",5133,"Valid","Iron, IIAB",39000,"Fell",1847,50.6,16.3,"(50.6, 16.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bremervörde",5135,"Valid","H/L3.9",7250,"Fell",1855,53.4,9.1,"(53.4, 9.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brient",5140,"Valid","Eucrite-pmict",219,"Fell",1933,52.13333,59.31667,"(52.13333, 59.31667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bukhara",30448,"Valid","CV3",5300,"Fell",2001,39.77978,64.60035,"(39.77978, 64.60035)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cacak",5187,"Valid","OC",212,"Fell",1919,43.83889,20.33333,"(43.83889, 20.33333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campos Sales",5249,"Valid","L5",23680,"Fell",1991,-7.03333,-40.16667,"(-7.03333, -40.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Çanakkale",5250,"Valid","L6",4000,"Fell",1964,39.8,26.6,"(39.8, 26.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capilla del Monte",5264,"Valid","H6",750,"Fell",1934,-30.88333,-64.55,"(-30.88333, -64.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castalia",5291,"Valid","H5",7300,"Fell",1874,36.08333,-78.06667,"(36.08333, -78.06667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castel Berardenga",5292,"Valid","Stone-uncl",NA,"Fell",1791,43.35,11.5,"(43.35, 11.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castrovillari",5295,"Valid","Stone-uncl",15000,"Fell",1583,39.8,16.2,"(39.8, 16.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caswell County",5296,"Valid","OC",1360,"Fell",1810,36.5,-79.25,"(36.5, -79.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceniceros",5306,"Valid","L3.7",1025,"Fell",1988,26.46667,-105.23333,"(26.46667, -105.23333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chainpur",5315,"Valid","LL3.4",8200,"Fell",1907,25.85,83.48333,"(25.85, 83.48333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandakapur",5320,"Valid","L5",8800,"Fell",1838,20.26667,76.01667,"(20.26667, 76.01667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandpur",5321,"Valid","L6",1100,"Fell",1885,27.28333,79.05,"(27.28333, 79.05)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changde",5322,"Valid","H5",1810,"Fell",1977,29.08333,111.75,"(29.08333, 111.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chantonnay",5325,"Valid","L6",31500,"Fell",1812,46.68333,1.05,"(46.68333, 1.05)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chassigny",5331,"Valid","Martian (chassignite)",4000,"Fell",1815,47.71667,5.36667,"(47.71667, 5.36667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaves",5334,"Valid","Howardite",2945,"Fell",1925,41.93333,-7.46667,"(41.93333, -7.46667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chela",5338,"Valid","H4",2936,"Fell",1988,-3.66667,32.5,"(-3.66667, 32.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelyabinsk",57165,"Valid","LL5",1e+05,"Fell",2013,54.81667,61.11667,"(54.81667, 61.11667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherokee Springs",5340,"Valid","LL6",8400,"Fell",1933,35.03333,-81.88333,"(35.03333, -81.88333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chervony Kut",5342,"Valid","Eucrite-mmict",1700,"Fell",1939,50.83333,34,"(50.83333, 34.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chetrinahatti",5344,"Valid","Stone-uncl",72,"Fell",1880,14.5,76.5,"(14.5, 76.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chiang Khan",5345,"Valid","H6",367,"Fell",1981,17.9,101.63333,"(17.9, 101.63333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicora",5349,"Valid","LL6",303,"Fell",1938,40.93333,-79.73333,"(40.93333, -79.73333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chisenga",5355,"Valid","Iron, IIIAB",3920,"Fell",1988,-10.05944,33.395,"(-10.05944, 33.395)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chitado",5356,"Valid","L6",NA,"Fell",1966,-17.35,13.96667,"(-17.35, 13.96667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chitenay",5357,"Valid","L6",4000,"Fell",1978,47.47083,0.97667,"(47.47083, 0.97667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cilimus",5364,"Valid","L5",1600,"Fell",1979,-6.95,108.1,"(-6.95, 108.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claxton",5374,"Valid","L6",1455,"Fell",1984,32.1025,-81.87278,"(32.1025, -81.87278)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clohars",5383,"Valid","L4",48.6,"Fell",1822,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cold Bokkeveld",5397,"Valid","CM2",5200,"Fell",1838,-33.13333,19.38333,"(-33.13333, 19.38333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conquista",5418,"Valid","H4",20350,"Fell",1965,-19.85,-47.55,"(-19.85, -47.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cranganore",5465,"Valid","L6",1460,"Fell",1917,10.2,76.26667,"(10.2, 76.26667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cronstad",5474,"Valid","H5",3650,"Fell",1877,-27.7,27.3,"(-27.7, 27.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crumlin",5477,"Valid","L5",4255,"Fell",1902,54.61667,-6.21667,"(54.61667, -6.21667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynthiana",5500,"Valid","L/LL4",6000,"Fell",1877,38.4,-84.25,"(38.4, -84.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dahmani",5504,"Valid","LL6",18000,"Fell",1981,35.61667,8.83333,"(35.61667, 8.83333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danville",5514,"Valid","L6",2000,"Fell",1868,34.4,-87.06667,"(34.4, -87.06667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dashoguz",6604,"Valid","H5",7000,"Fell",1998,41.98444,59.685,"(41.98444, 59.685)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daule",51559,"Valid","L5",6580,"Fell",2008,-1.87089,-79.95756,"(-1.87089, -79.95756)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demina",6649,"Valid","L6",16400,"Fell",1911,51.46667,84.76667,"(51.46667, 84.76667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denver",6660,"Valid","L6",230,"Fell",1967,39.7825,-104.93056,"(39.7825, -104.93056)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dergaon",6664,"Valid","H5",12500,"Fell",2001,26.68333,93.86667,"(26.68333, 93.86667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desuri",6693,"Valid","H6",25400,"Fell",1962,25.73333,73.61667,"(25.73333, 73.61667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devri-Khera",6696,"Valid","L6",1140,"Fell",1994,24.225,76.525,"(24.225, 76.525)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dharwar",6699,"Valid","OC",1800,"Fell",1848,14.88333,75.6,"(14.88333, 75.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dhurmsala",7640,"Valid","LL6",32000,"Fell",1860,32.23333,76.46667,"(32.23333, 76.46667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djoumine",7657,"Valid","H5-6",10000,"Fell",1999,36.95,9.55,"(36.95, 9.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dokachi",7658,"Valid","H5",3840,"Fell",1903,23.5,90.33333,"(23.5, 90.33333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dongtai",7708,"Valid","LL6",5500,"Fell",1970,32.91667,120.78333,"(32.91667, 120.78333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dosso",7722,"Valid","L6",1250,"Fell",1962,13.05,3.16667,"(13.05, 3.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Douar Mghila",7723,"Valid","LL6",1161,"Fell",1932,32.33333,-6.3,"(32.33333, -6.3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dundrum",7745,"Valid","H5",2270,"Fell",1865,52.55,-8.03333,"(52.55, -8.03333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dunhua",7749,"Valid","Stone-uncl",NA,"Fell",1976,43.33333,128.25,"(43.33333, 128.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duruma",7752,"Valid","L6",577,"Fell",1853,-4,39.5,"(-4.0, 39.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dwaleni",7755,"Valid","H4-6",3230,"Fell",1970,-27.2,31.31667,"(-27.2, 31.31667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle",7760,"Valid","EL6",10000,"Fell",1947,40.78167,-96.47167,"(40.78167, -96.47167)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
